Origin/Destination,Munich,Stuttgart,Berlin,Frankfurt+am+Main,Hannover,Cologne,Potsdam,Bremen,Hamburg,Leipzig,Rostock,Saarbrucken,Halle+(Saale),Kiel,Erfurt,Mainz,Dusseldorf,Dortmund,Essen,Dresden,Nurnberg,Duisburg,Bochum,Wuppertal,Bielefeld,Bonn,Munster,Karlsruhe,Mannheim,Augsburg,Wiesbaden,Gelsenkirchen,Monchengladbach,Braunschweig,Chemnitz,Aachen,Magdeburg,Freiburg im Breisgau,Krefeld,Lubeck,Oberhausen,Kassel,Hagen,Hamm,Mulheim an der Ruhr,Ludwigshafen am Rhein,Oldenburg,Leverkusen,Osnabruck,Solingen,Heidelberg,Herne,Neuss,Darmstadt,Paderborn,Regensburg,Ingolstadt,Wurzburg,Furth,Wolfsburg,Offenbach am Main,Ulm,Heilbronn,Pforzheim,Gottingen,Bottrop,Trier,Recklinghausen,Reutlingen,Bremerhaven,Koblenz,Bergisch Gladbach,Jena,Remscheid,Erlangen,Moers,Siegen,Hildesheim,Salzgitter
Krefeld,632753,431176,574487,248452,293377,58919,544444,294470,404587,486776,577778,317616,445298,489037,417104,251807,28733,73081,37741,585553,464267,24285,53551,59349,195186,90678,128098,363449,301326,585103,223410,58478,32985,355507,553658,97537,436655,495411,0,463945,42557,231457,87137,124047,30330,302729,282915,80379,180431,57499,309775,69074,23225,257645,172593,564329,557513,359356,457781,377174,255410,515538,377462,385238,281929,50413,246171,75048,459346,357757,166987,72251,459120,68955,452941,22289,149651,333276,368044
Lubeck,853175,714884,307784,552716,219377,491091,302905,186097,74985,455815,120769,730738,415232,86809,451549,581680,467092,403987,432671,495844,667209,443494,411415,438718,308128,512088,342075,683940,630275,805041,577335,415164,493782,259855,546821,550244,341002,815902,469361,0,430792,370450,416312,382646,441718,632213,228556,466683,291938,454868,635069,406110,472503,581763,347098,766589,777934,568503,660722,281521,558897,751524,674857,705730,325780,413437,674228,398851,757638,240502,589722,470825,515894,446983,650014,447684,492921,237298,272066
Oberhausen,639077,432805,531317,254776,250207,82764,501274,260245,370361,463581,543552,331919,422104,454812,393910,243922,40605,49886,13855,562359,470591,17308,33231,61443,152016,103761,93873,365079,311414,586732,229733,17330,67596,312338,530463,133125,393485,497040,43028,429719,0,208263,72097,80877,10794,313352,248689,80542,146206,59593,316098,27926,46317,263969,149398,570653,563837,365679,464104,334004,261734,517168,379092,386868,258734,9265,260474,35197,460975,323532,181395,72145,435926,75710,459264,21350,147857,290106,324874
Kassel,476114,355303,380269,193135,168097,248769,350226,287280,311158,254609,484349,371157,213131,406554,195821,222099,230953,161323,195712,353386,307627,217281,181416,196397,130872,269767,199532,324359,270694,445460,217754,194179,255628,153864,316833,307922,242437,456321,231127,370516,207517,0,173991,147421,204758,272632,330032,224362,179021,212546,275487,182035,231988,222182,83910,407690,400873,208922,301141,182649,199316,391943,315276,346149,49762,207518,366559,192269,398057,341685,247955,228504,237837,204662,290433,236348,230550,136946,137334
Hagen,589732,403536,504071,204586,222961,82861,474028,246438,356555,428570,529746,337443,387092,441005,358898,233549,65045,24895,57377,527347,421246,78946,43082,30489,124769,103859,79743,335809,282144,558812,229204,58724,97800,285091,495451,142014,366239,467771,86468,415913,72063,173251,0,53630,66424,284082,234883,58454,132399,46638,286938,43951,66080,233632,114386,521308,514491,316334,414759,306757,210766,487899,349822,357599,223722,70240,265998,53308,431706,309725,181492,62596,400914,38754,409919,92488,85651,262860,297628
Hamm,614002,448669,463898,249719,182787,128955,433854,216279,323294,403381,496485,383536,361903,418690,333709,278683,111138,41851,80769,502158,445515,98236,66473,76582,84596,149952,49584,380943,327278,583348,274338,66662,148524,244918,470263,188107,326065,512905,124104,382652,80001,148062,54176,0,89815,329216,204724,104547,102240,92731,332071,57817,112173,278766,104286,545578,538761,346810,439029,266584,255900,529831,394956,402732,198534,73596,312092,58347,476839,279566,227586,108689,375725,84847,428321,102426,130785,222687,257455
Mulheim+an+der+Ruhr,626068,419796,540575,241766,259465,69754,510532,273090,383207,460141,556398,318909,418663,467657,390469,230913,27711,46446,11145,558918,457581,14323,26916,48433,161274,90752,106718,352069,298404,573723,216724,24173,54401,321595,527023,119930,402743,484031,29892,442564,13989,204822,65816,90135,0,300342,261535,67533,159051,46583,303089,29768,33122,250959,145958,557644,550827,352670,451095,343262,248724,504158,366082,373858,255294,22519,247464,48043,447966,336377,168385,59135,432485,72568,446255,27928,141576,299364,334132
Ludwigshafen+am+Rhein,362805,140124,626887,87352,430271,249655,596844,522046,573332,471950,746523,132086,459683,668728,337936,83565,283675,300185,308446,542243,246977,310197,318372,291742,394564,215336,355351,68584,2807,294051,92145,329954,279686,416037,470579,288249,504610,204359,300099,632690,314033,273672,285260,329238,301035,0,510491,274806,408007,273343,21915,325278,279435,60598,347602,333049,314857,183758,251609,444822,93464,224486,86410,94186,311935,321889,178972,334635,168294,603858,144765,254187,379952,282804,264637,314780,211915,399119,399508
Oldenburg,812699,630691,451216,431740,180810,310976,410225,54260,172046,417248,345237,565558,376666,256497,412982,460704,286977,223872,252557,521190,628642,263379,231300,258604,172564,331973,161960,562964,509299,766475,456359,235049,313667,221288,508254,370129,302436,694926,289247,231404,250678,331883,236198,206725,261603,511237,0,286568,111824,274753,514092,225996,292388,460787,214160,726113,737458,529937,622156,242955,437921,712958,576977,584754,287214,233322,494113,218736,658861,70563,409607,290711,475418,266869,611448,267569,312806,198731,233499
Leverkusen,580721,374449,557555,196420,276444,24408,527511,299922,410038,482053,583230,278990,440575,494489,372198,185566,35741,78378,54518,576505,412234,56269,67318,37814,178253,45405,133227,306722,253057,528376,171377,76026,66549,338575,508752,83561,419722,438684,61563,469396,60105,226734,61032,107114,47107,254995,288367,0,185883,19415,257742,72659,40899,205613,167870,512297,505480,307323,405748,360241,203377,458812,320735,328512,277206,67961,207545,82015,402619,363209,123039,13788,414214,30184,400908,76244,97386,316344,351112
